Date,Carrot,Tomato,Broccoli,Avocado,Onion,Cucumber,Ladyfinger,Ginger,Mango,Cauliflower
01-01-2023,50,75,100,125,25,35,40,80,70,100
02-01-2023,45,80,105,130,25,40,45,75,75,105
03-01-2023,42,85,110,115,22,38,42,70,80,110
04-01-2023,47,82,107,110,24,37,42,85,65,107
05-01-2023,55,70,115,105,21,36,43,90,60,115
06-01-2023,60,65,120,100,22,38,44,95,55,120
07-01-2023,58,68,118,104,23,39,48,100,50,118
08-01-2023,53,72,112,112,21,41,41,105,45,112
09-01-2023,51,77,108,110,24,40,42,110,40,108
10-01-2023,49,73,114,107,20,40,46,115,35,114
11-01-2023,46,79,119,104,21,42,49,120,30,119
12-01-2023,43,75,111,103,18,37,47,125,25,111
13-01-2023,52,78,116,107,25,38,48,130,20,116
14-01-2023,44,83,113,109,23,39,43,135,15,113
15-01-2023,48,76,109,108,24,34,42,140,10,109
16-01-2023,54,71,105,101,21,38,44,145,5,105
17-01-2023,57,69,117,110,22,42,41,150,0,117
18-01-2023,59,66,121,126,23,43,42,155,5,121
19-01-2023,56,74,119,118,24,45,45,160,10,119
20-01-2023,50,80,110,123,25,46,46,165,15,110
21-01-2023,53,79,114,128,21,41,44,170,20,114
22-01-2023,47,72,108,125,19,41,47,175,25,108
23-01-2023,45,81,103,126,20,44,43,180,30,103
24-01-2023,40,77,112,128,21,45,45,185,35,112
01-07-2023,80,50,120,100,40,60,55,120,100,130
02-07-2023,85,48,125,105,42,62,56,125,105,135
03-07-2023,82,51,118,102,41,59,54,122,101,132
04-07-2023,78,55,115,98,38,58,53,118,97,128
05-07-2023,75,58,112,95,37,56,52,115,94,125
06-07-2023,72,61,108,92,36,55,51,112,91,122
07-07-2023,70,63,105,88,35,54,50,110,88,119
08-07-2023,68,65,102,85,33,53,49,108,85,116
09-07-2023,66,67,99,82,32,52,48,106,82,113
10-07-2023,64,69,96,79,31,51,47,104,79,110
11-07-2023,62,71,93,76,30,50,46,102,76,107
12-07-2023,60,73,90,73,29,49,45,100,73,104
13-07-2023,58,75,87,70,28,48,44,98,70,101
14-07-2023,56,77,84,67,27,47,43,96,67,98
15-07-2023,54,79,81,64,26,46,42,94,64,95
16-07-2023,52,81,78,61,25,45,41,92,61,92
17-07-2023,50,83,75,58,24,44,40,90,58,89
18-07-2023,48,85,72,55,23,43,39,88,55,86
19-07-2023,46,87,69,52,22,42,38,86,52,83
20-07-2023,44,89,66,49,21,41,37,84,49,80
21-07-2023,42,91,63,46,20,40,36,82,46,77
22-07-2023,40,93,60,43,19,39,35,80,43,74
23-07-2023,38,95,57,40,18,38,34,78,40,71
24-07-2023,36,97,54,37,17,37,33,76,37,68
25-07-2023,34,99,51,34,16,36,32,74,34,65
26-07-2023,32,101,48,31,15,35,31,72,31,62
27-07-2023,30,103,45,28,14,34,30,70,28,59
28-07-2023,28,105,42,25,13,33,29,68,25,56
29-07-2023,26,107,39,22,12,32,28,66,22,53
30-07-2023,24,109,36,19,11,31,27,64,19,50
31-07-2023,22,111,33,16,10,30,26,62,16,47
01-08-2023,20,113,30,13,9,29,25,60,13,44
02-08-2023,18,115,27,10,8,28,24,58,10,41
03-08-2023,16,117,24,7,7,27,23,56,7,38
04-08-2023,14,119,21,4,6,26,22,54,4,35
05-08-2023,12,121,18,1,5,25,21,52,1,32
06-08-2023,10,123,15,3,4,24,20,50,3,29
07-08-2023,8,125,12,6,3,23,19,48,6,26
08-08-2023,6,127,9,9,2,22,18,46,9,23
09-08-2023,4,129,6,12,1,21,17,44,12,20
10-08-2023,2,131,3,15,0,20,16,42,15,17
11-08-2023,0,133,0,18,2,19,15,40,18,14
12-08-2023,2,135,2,20,4,18,14,38,20,12
13-08-2023,4,137,4,22,6,17,13,36,22,10
14-08-2023,6,139,6,24,8,16,12,34,24,8
15-08-2023,8,141,8,26,10,15,11,32,26,6
16-08-2023,10,143,10,28,12,14,10,30,28,4
17-08-2023,12,145,12,30,14,13,29,28,30,2
18-08-2023,14,147,14,32,16,12,28,26,32,0
19-08-2023,16,149,16,34,18,11,7,24,34,2
20-08-2023,18,151,18,36,20,10,26,22,36,4
21-08-2023,20,153,20,38,22,19,5,20,38,6
22-08-2023,22,155,22,40,24,8,42,18,40,8
23-08-2023,24,157,24,42,26,27,3,16,42,10
24-08-2023,26,159,26,44,28,26,22,14,44,12
25-08-2023,28,161,28,46,30,25,1,12,46,14
26-08-2023,30,163,30,48,32,42,0,10,48,16
27-08-2023,32,165,32,50,34,32,12,8,50,18
28-08-2023,34,167,34,52,36,22,2,6,52,20
29-08-2023,36,169,36,54,38,1,32,4,54,22
30-08-2023,38,171,38,56,40,0,4,2,56,24
31-08-2023,40,173,40,58,42,1,5,0,58,26
01-09-2023,42,175,42,60,44,22,26,2,60,28
02-09-2023,44,177,44,62,46,3,7,4,62,30
03-09-2023,46,179,46,64,48,4,28,6,64,32
04-09-2023,48,181,48,66,50,5,9,8,66,34
05-09-2023,50,183,50,68,52,6,10,10,68,36
06-09-2023,52,185,52,70,54,7,11,12,70,38
07-09-2023,54,187,54,72,56,8,12,14,72,40
08-09-2023,56,189,56,74,58,9,13,16,74,42
09-09-2023,58,191,58,76,60,10,14,18,76,44
10-09-2023,60,193,60,78,62,11,15,20,78,46
11-09-2023,62,195,62,80,64,12,16,22,80,48
12-09-2023,64,197,64,82,66,13,17,24,82,50
13-09-2023,66,199,66,84,68,14,18,26,84,52
14-09-2023,68,201,68,86,70,15,19,28,86,54
15-09-2023,70,203,70,88,72,16,20,30,88,56
